order_id,order_date,region,product,category,quantity,price,revenue
1,2023-01-01 00:00:00,East,Tablet,Electronics,4,953,3812
2,2023-01-01 01:00:00,West,Headphones,Accessories,2,357,714
3,2023-01-01 02:00:00,North,Tablet,Accessories,1,487,487
4,2023-01-01 03:00:00,East,Headphones,Accessories,4,144,576
5,2023-01-01 04:00:00,East,Headphones,Electronics,1,368,368
6,2023-01-01 05:00:00,West,Tablet,Accessories,4,410,1640
7,2023-01-01 06:00:00,North,Phone,Accessories,4,771,3084
8,2023-01-01 07:00:00,North,Headphones,Electronics,2,377,754
9,2023-01-01 08:00:00,East,Tablet,Electronics,3,956,2868
10,2023-01-01 09:00:00,South,Laptop,Electronics,3,574,1722
11,2023-01-01 10:00:00,East,Tablet,Electronics,2,666,1332
12,2023-01-01 11:00:00,East,Laptop,Accessories,4,244,976
13,2023-01-01 12:00:00,East,Headphones,Electronics,3,334,1002
14,2023-01-01 13:00:00,East,Tablet,Accessories,3,790,2370
15,2023-01-01 14:00:00,West,Tablet,Electronics,3,819,2457
16,2023-01-01 15:00:00,North,Laptop,Electronics,2,235,470
17,2023-01-01 16:00:00,West,Tablet,Accessories,1,544,544
18,2023-01-01 17:00:00,West,Tablet,Accessories,1,452,452
19,2023-01-01 18:00:00,West,Headphones,Accessories,1,493,493
20,2023-01-01 19:00:00,East,Tablet,Electronics,1,374,374
21,2023-01-01 20:00:00,South,Phone,Electronics,1,483,483
22,2023-01-01 21:00:00,North,Laptop,Accessories,3,422,1266
23,2023-01-01 22:00:00,South,Tablet,Accessories,3,282,846
24,2023-01-01 23:00:00,West,Laptop,Electronics,4,672,2688
25,2023-01-02 00:00:00,West,Laptop,Accessories,3,539,1617
26,2023-01-02 01:00:00,South,Laptop,Accessories,2,162,324
27,2023-01-02 02:00:00,South,Tablet,Electronics,4,972,3888
28,2023-01-02 03:00:00,South,Tablet,Accessories,3,826,2478
29,2023-01-02 04:00:00,West,Laptop,Electronics,4,971,3884
30,2023-01-02 05:00:00,West,Phone,Electronics,4,750,3000
31,2023-01-02 06:00:00,North,Laptop,Electronics,1,745,745
32,2023-01-02 07:00:00,North,Phone,Accessories,4,133,532
33,2023-01-02 08:00:00,West,Laptop,Accessories,3,804,2412
34,2023-01-02 09:00:00,South,Headphones,Accessories,1,966,966
35,2023-01-02 10:00:00,South,Laptop,Accessories,3,931,2793
36,2023-01-02 11:00:00,North,Laptop,Electronics,1,576,576
37,2023-01-02 12:00:00,West,Tablet,Electronics,3,186,558
38,2023-01-02 13:00:00,North,Phone,Accessories,1,309,309
39,2023-01-02 14:00:00,North,Headphones,Accessories,1,561,561
40,2023-01-02 15:00:00,East,Phone,Accessories,2,180,360
41,2023-01-02 16:00:00,East,Headphones,Accessories,3,421,1263
42,2023-01-02 17:00:00,East,Laptop,Electronics,4,514,2056
43,2023-01-02 18:00:00,South,Tablet,Accessories,1,950,950
44,2023-01-02 19:00:00,West,Tablet,Electronics,3,289,867
45,2023-01-02 20:00:00,West,Phone,Accessories,1,959,959
46,2023-01-02 21:00:00,West,Tablet,Accessories,2,332,664
47,2023-01-02 22:00:00,West,Phone,Accessories,2,491,982
48,2023-01-02 23:00:00,East,Phone,Electronics,2,268,536
49,2023-01-03 00:00:00,South,Headphones,Accessories,2,542,1084
50,2023-01-03 01:00:00,South,Phone,Electronics,4,862,3448
51,2023-01-03 02:00:00,East,Headphones,Electronics,4,267,1068
52,2023-01-03 03:00:00,South,Tablet,Accessories,1,330,330
53,2023-01-03 04:00:00,East,Phone,Electronics,3,249,747
54,2023-01-03 05:00:00,West,Phone,Electronics,2,763,1526
55,2023-01-03 06:00:00,East,Laptop,Electronics,2,649,1298
56,2023-01-03 07:00:00,West,Phone,Accessories,4,485,1940
57,2023-01-03 08:00:00,West,Phone,Electronics,4,480,1920
58,2023-01-03 09:00:00,North,Laptop,Electronics,2,908,1816
59,2023-01-03 10:00:00,East,Laptop,Accessories,3,374,1122
60,2023-01-03 11:00:00,North,Tablet,Accessories,1,716,716
61,2023-01-03 12:00:00,East,Phone,Electronics,1,997,997
62,2023-01-03 13:00:00,East,Tablet,Electronics,1,959,959
63,2023-01-03 14:00:00,North,Tablet,Electronics,1,963,963
64,2023-01-03 15:00:00,North,Laptop,Electronics,3,161,483
65,2023-01-03 16:00:00,East,Headphones,Accessories,3,566,1698
66,2023-01-03 17:00:00,South,Tablet,Accessories,3,627,1881
67,2023-01-03 18:00:00,West,Headphones,Electronics,4,961,3844
68,2023-01-03 19:00:00,North,Phone,Accessories,2,249,498
69,2023-01-03 20:00:00,West,Laptop,Electronics,3,241,723
70,2023-01-03 21:00:00,South,Phone,Accessories,1,215,215
71,2023-01-03 22:00:00,South,Phone,Accessories,3,923,2769
72,2023-01-03 23:00:00,South,Laptop,Electronics,2,164,328
73,2023-01-04 00:00:00,North,Phone,Electronics,4,528,2112
74,2023-01-04 01:00:00,South,Laptop,Electronics,1,409,409
75,2023-01-04 02:00:00,North,Headphones,Electronics,4,805,3220
76,2023-01-04 03:00:00,South,Phone,Accessories,3,953,2859
77,2023-01-04 04:00:00,West,Laptop,Accessories,1,529,529
78,2023-01-04 05:00:00,West,Tablet,Electronics,1,260,260
79,2023-01-04 06:00:00,East,Phone,Accessories,3,405,1215
80,2023-01-04 07:00:00,West,Headphones,Accessories,3,460,1380
81,2023-01-04 08:00:00,East,Laptop,Electronics,2,377,754
82,2023-01-04 09:00:00,West,Phone,Electronics,3,395,1185
83,2023-01-04 10:00:00,North,Phone,Accessories,3,650,1950
84,2023-01-04 11:00:00,West,Phone,Electronics,3,972,2916
85,2023-01-04 12:00:00,East,Headphones,Electronics,1,268,268
86,2023-01-04 13:00:00,East,Laptop,Accessories,2,558,1116
87,2023-01-04 14:00:00,South,Tablet,Accessories,1,679,679
88,2023-01-04 15:00:00,North,Tablet,Electronics,3,106,318
89,2023-01-04 16:00:00,West,Tablet,Accessories,2,696,1392
90,2023-01-04 17:00:00,South,Laptop,Electronics,3,810,2430
91,2023-01-04 18:00:00,West,Tablet,Electronics,1,231,231
92,2023-01-04 19:00:00,West,Headphones,Accessories,1,687,687
93,2023-01-04 20:00:00,South,Laptop,Accessories,3,861,2583
94,2023-01-04 21:00:00,South,Phone,Electronics,2,446,892
95,2023-01-04 22:00:00,South,Headphones,Electronics,1,820,820
96,2023-01-04 23:00:00,South,Phone,Electronics,3,695,2085
97,2023-01-05 00:00:00,South,Tablet,Accessories,4,834,3336
98,2023-01-05 01:00:00,West,Headphones,Electronics,3,352,1056
99,2023-01-05 02:00:00,South,Laptop,Accessories,3,509,1527
100,2023-01-05 03:00:00,North,Headphones,Electronics,2,642,1284
101,2023-01-05 04:00:00,East,Phone,Accessories,3,454,1362
102,2023-01-05 05:00:00,South,Laptop,Electronics,4,812,3248
103,2023-01-05 06:00:00,South,Headphones,Accessories,3,663,1989
104,2023-01-05 07:00:00,West,Headphones,Electronics,4,467,1868
105,2023-01-05 08:00:00,South,Headphones,Electronics,1,683,683
106,2023-01-05 09:00:00,South,Headphones,Electronics,3,610,1830
107,2023-01-05 10:00:00,South,Laptop,Electronics,2,632,1264
108,2023-01-05 11:00:00,West,Phone,Accessories,3,627,1881
109,2023-01-05 12:00:00,South,Headphones,Accessories,4,627,2508
110,2023-01-05 13:00:00,East,Laptop,Accessories,4,501,2004
111,2023-01-05 14:00:00,West,Phone,Accessories,2,274,548
112,2023-01-05 15:00:00,East,Headphones,Accessories,4,923,3692
113,2023-01-05 16:00:00,West,Phone,Electronics,3,949,2847
114,2023-01-05 17:00:00,South,Phone,Accessories,4,177,708
115,2023-01-05 18:00:00,East,Laptop,Accessories,3,539,1617
116,2023-01-05 19:00:00,West,Phone,Accessories,3,851,2553
117,2023-01-05 20:00:00,North,Laptop,Accessories,4,648,2592
118,2023-01-05 21:00:00,South,Headphones,Electronics,2,331,662
119,2023-01-05 22:00:00,West,Phone,Electronics,1,499,499
120,2023-01-05 23:00:00,North,Phone,Electronics,2,312,624
121,2023-01-06 00:00:00,West,Tablet,Electronics,1,292,292
122,2023-01-06 01:00:00,North,Headphones,Accessories,2,671,1342
123,2023-01-06 02:00:00,South,Headphones,Accessories,3,800,2400
124,2023-01-06 03:00:00,East,Tablet,Electronics,3,366,1098
125,2023-01-06 04:00:00,North,Tablet,Electronics,4,225,900
126,2023-01-06 05:00:00,West,Laptop,Accessories,1,814,814
127,2023-01-06 06:00:00,South,Laptop,Accessories,1,933,933
128,2023-01-06 07:00:00,North,Phone,Electronics,4,481,1924
129,2023-01-06 08:00:00,West,Phone,Electronics,2,643,1286
130,2023-01-06 09:00:00,West,Phone,Electronics,4,601,2404
131,2023-01-06 10:00:00,West,Phone,Electronics,2,502,1004
132,2023-01-06 11:00:00,North,Laptop,Accessories,4,923,3692
133,2023-01-06 12:00:00,North,Headphones,Accessories,1,360,360
134,2023-01-06 13:00:00,North,Phone,Accessories,1,486,486
135,2023-01-06 14:00:00,East,Headphones,Electronics,2,511,1022
136,2023-01-06 15:00:00,North,Phone,Accessories,1,445,445
137,2023-01-06 16:00:00,North,Tablet,Accessories,1,193,193
138,2023-01-06 17:00:00,North,Phone,Electronics,1,427,427
139,2023-01-06 18:00:00,East,Phone,Electronics,1,199,199
140,2023-01-06 19:00:00,North,Phone,Electronics,3,896,2688
141,2023-01-06 20:00:00,West,Laptop,Electronics,4,560,2240
142,2023-01-06 21:00:00,North,Tablet,Electronics,4,414,1656
143,2023-01-06 22:00:00,West,Phone,Electronics,3,124,372
144,2023-01-06 23:00:00,West,Phone,Accessories,1,593,593
145,2023-01-07 00:00:00,West,Headphones,Accessories,4,452,1808
146,2023-01-07 01:00:00,East,Tablet,Accessories,4,968,3872
147,2023-01-07 02:00:00,East,Phone,Accessories,4,216,864
148,2023-01-07 03:00:00,East,Headphones,Accessories,2,298,596
149,2023-01-07 04:00:00,North,Headphones,Accessories,3,378,1134
150,2023-01-07 05:00:00,West,Laptop,Electronics,2,681,1362
151,2023-01-07 06:00:00,East,Headphones,Electronics,2,946,1892
152,2023-01-07 07:00:00,East,Phone,Electronics,3,178,534
153,2023-01-07 08:00:00,North,Laptop,Accessories,4,523,2092
154,2023-01-07 09:00:00,East,Laptop,Accessories,2,453,906
155,2023-01-07 10:00:00,North,Phone,Electronics,4,625,2500
156,2023-01-07 11:00:00,South,Tablet,Electronics,2,640,1280
157,2023-01-07 12:00:00,East,Headphones,Electronics,4,755,3020
158,2023-01-07 13:00:00,South,Laptop,Electronics,1,576,576
159,2023-01-07 14:00:00,North,Tablet,Electronics,1,954,954
160,2023-01-07 15:00:00,West,Phone,Accessories,1,109,109
161,2023-01-07 16:00:00,East,Headphones,Accessories,3,658,1974
162,2023-01-07 17:00:00,North,Headphones,Accessories,1,602,602
